행정동명,집계구코드,위도,경도,집계구별_물동량,가중치,총가구수,총인구수
화곡1동,1.11607E+13,37.529509702432634,126.84247890291643,69,0.001022642,384,562
화곡1동,1.11607E+13,37.53033184014757,126.83953755739174,69,0.001020822,228,561
화곡8동,1.11606E+13,37.534145428467866,126.8499044068147,69,0.001017183,224,559
가양2동,1.11607E+13,37.56372783611155,126.85526622006117,69,0.001022642,352,562
화곡4동,1.11606E+13,37.53413906859723,126.86176132519036,69,0.001026281,252,564
염창동,1.11605E+13,37.55131252656413,126.86743055687442,69,0.001017183,194,559
화곡1동,1.11607E+13,37.53387970278003,126.84109973975183,69,0.00102992,256,566
화곡1동,1.11607E+13,37.53576334383758,126.83991151859382,69,0.00103174,309,567
등촌2동,1.11605E+13,37.54947681571612,126.86120683971265,69,0.001026281,215,564
화곡4동,1.11606E+13,37.53469949636356,126.8613021026632,69,0.001019003,275,560
화곡6동,1.11606E+13,37.55368818,126.84930380842351,69,0.001026281,267,564
화곡4동,1.11606E+13,37.53042643881313,126.85913367397525,69,0.001028101,264,565
발산1동,1.11607E+13,37.55286532226334,126.82492548417092,69,0.001017183,171,559
공항동,1.11607E+13,37.563460609230695,126.81245391398882,69,0.001024462,310,563
등촌1동,1.11605E+13,37.55162899019725,126.8646641,69,0.001028101,478,565
화곡3동,1.11606E+13,37.546172485370526,126.83228306470231,69,0.001019003,186,560
화곡본동,1.11606E+13,37.541425829002485,126.84582924208883,69,0.001020822,231,561
방화3동,1.11608E+13,37.57868583921903,126.81020263103908,68,0.001011724,386,556
가양1동,1.11608E+13,37.57105534589423,126.83978647079003,68,0.001008085,291,554
방화3동,1.11608E+13,37.57736135613268,126.81741154222865,68,0.001013544,206,557
화곡본동,1.11606E+13,37.545717927868324,126.84668484724043,68,0.001002626,356,551
등촌3동,1.11605E+13,37.56164676,126.84245808266209,68,0.001008085,398,554
등촌3동,1.11605E+13,37.562292775606785,126.84323446259944,68,0.001004445,367,552
공항동,1.11607E+13,37.55915501591949,126.82322041956077,68,0.001011724,181,556
등촌2동,1.11605E+13,37.547164581266365,126.86073296401536,68,0.001015363,269,558
화곡8동,1.11606E+13,37.53659351742282,126.84786738419254,68,0.001015363,258,558
방화1동,1.11607E+13,37.56987768861777,126.81606399342104,68,0.001004445,218,552
화곡2동,1.11606E+13,37.530769348053134,126.85265713256244,68,0.001013544,293,557
가양3동,1.11607E+13,37.56218388,126.85777468386989,68,0.001009904,321,555
화곡4동,1.11606E+13,37.535992585341326,126.86126181733249,68,0.001002626,249,551
화곡1동,1.11607E+13,37.53428326429758,126.84006428663969,68,0.001008085,240,554
발산1동,1.11607E+13,37.55146463586313,126.82729136256339,68,0.001015363,225,558
화곡1동,1.11607E+13,37.53345417,126.83685035528944,68,0.001004445,199,552
화곡1동,1.11607E+13,37.532641217092824,126.84329034988056,68,0.001011724,296,556
화곡본동,1.11606E+13,37.54075946010696,126.84489828287407,68,0.001009904,247,555
화곡1동,1.11607E+13,37.52957263155505,126.84324660095828,68,0.001009904,310,555
발산1동,1.11607E+13,37.547832539717966,126.82323970368478,68,0.001013544,224,557
발산1동,1.11607E+13,37.55153765454033,126.82417423519578,68,0.001008085,173,554
화곡본동,1.11606E+13,37.54694254557539,126.84811707911531,68,0.001009904,357,555
화곡1동,1.11607E+13,37.52895508314071,126.84333895881583,68,0.001006265,321,553
등촌1동,1.11605E+13,37.55432275048067,126.86069006493534,68,0.001008085,196,554
화곡1동,1.11607E+13,37.53837423471293,126.83544569116397,68,0.001011724,257,556
화곡1동,1.11607E+13,37.540328591142114,126.8409780225009,68,0.001006265,370,553
공항동,1.11607E+13,37.559453852311364,126.8087420057865,68,0.001011724,299,556
염창동,1.11605E+13,37.55340527753372,126.87483981658521,67,0.000989888,179,544
가양2동,1.11607E+13,37.56193814,126.85451714567202,67,0.000988069,199,543
가양3동,1.11607E+13,37.55903280465638,126.86404040010537,67,0.000997167,323,548
등촌3동,1.11605E+13,37.56429553720832,126.84559309451757,67,0.000988069,164,543
우장산동,1.11607E+13,37.555580707564815,126.84193974896476,67,0.000989888,189,544
등촌3동,1.11605E+13,37.56132951805903,126.84544035487275,67,0.000998986,202,549
화곡본동,1.11606E+13,37.54395699899859,126.84470714389678,67,0.000991708,250,545
화곡6동,1.11606E+13,37.55247549126141,126.84646818609332,67,0.000988069,204,543
발산1동,1.11607E+13,37.55067394722026,126.83300362631216,67,0.000988069,219,543
우장산동,1.11607E+13,37.552438485278486,126.83825345139347,67,0.000995347,249,547
화곡본동,1.11606E+13,37.54359541918962,126.84878308367102,67,0.000993528,225,546
화곡1동,1.11607E+13,37.53796859994507,126.83777838169505,67,0.000991708,254,545
화곡1동,1.11607E+13,37.53538197571696,126.84245906609054,67,0.000998986,239,549
화곡2동,1.11606E+13,37.533181373711315,126.8537511114444,67,0.000995347,258,547
등촌2동,1.11605E+13,37.544552651295675,126.86012087907052,67,0.000989888,186,544
등촌2동,1.11605E+13,37.54412334723951,126.86121525083998,67,0.000991708,187,545
화곡2동,1.11606E+13,37.53415331883529,126.85649295123548,67,0.000991708,222,545
방화1동,1.11607E+13,37.56857137197057,126.81363728038725,67,0.000998986,269,549
염창동,1.11605E+13,37.55173080153064,126.87469975654307,67,0.000989888,170,544
염창동,1.11605E+13,37.55036509363847,126.8780030649019,67,0.000993528,187,546
화곡8동,1.11606E+13,37.53146695250401,126.84842238460716,67,0.000993528,267,546
화곡8동,1.11606E+13,37.53101206475894,126.84868209497029,67,0.000997167,241,548
화곡8동,1.11606E+13,37.534563523243655,126.84575827122343,67,0.000993528,289,546
염창동,1.11605E+13,37.55583174487945,126.87233435726496,67,0.000998986,186,549
염창동,1.11605E+13,37.5580179,126.86610923077191,67,0.001000806,205,550
염창동,1.11605E+13,37.55214101376454,126.87346111671249,67,0.000998986,161,549
가양1동,1.11608E+13,37.56785396,126.84960013981326,67,0.000988069,215,543
염창동,1.11605E+13,37.556154696192806,126.87081437948622,66,0.000973511,175,535
가양1동,1.11608E+13,37.57462578651665,126.83765000949562,66,0.00097897,173,538
화곡3동,1.11606E+13,37.54187177454277,126.83653731273269,66,0.000975331,276,536
공항동,1.11607E+13,37.55788691261249,126.81852669004925,66,0.000986249,184,542
방화1동,1.11607E+13,37.57227039655273,126.81324606659376,66,0.000973511,201,535
방화1동,1.11607E+13,37.57324018454353,126.80609632317268,66,0.000984429,201,541
공항동,1.11607E+13,37.55838624664392,126.81958736304847,66,0.000973511,175,535
화곡8동,1.11606E+13,37.53755093119761,126.85072664845893,66,0.000977151,253,537
등촌3동,1.11605E+13,37.56203073853648,126.84697876130915,66,0.00098079,171,539
등촌3동,1.11605E+13,37.56279420644796,126.8465761359038,66,0.00098079,159,539
방화3동,1.11608E+13,37.57508901971178,126.8198684708493,66,0.000986249,255,542
방화3동,1.11608E+13,37.57564199777001,126.81258060955318,66,0.000973511,237,535
화곡8동,1.11606E+13,37.53792128482038,126.84553005137202,66,0.00098261,307,540
화곡8동,1.11606E+13,37.533001033936074,126.8509315547085,66,0.000973511,217,535
등촌1동,1.11605E+13,37.555061732639714,126.85977169222541,66,0.000986249,265,542
화곡3동,1.11606E+13,37.54248926997075,126.83058000739149,66,0.000973511,183,535
화곡4동,1.11606E+13,37.53506490831074,126.85628843606172,66,0.000977151,233,537
발산1동,1.11607E+13,37.54824087402548,126.82173857468257,66,0.00098261,175,540
발산1동,1.11607E+13,37.548485523216755,126.82305409158141,66,0.00097897,232,538
화곡본동,1.11606E+13,37.53982168108879,126.84605822445589,66,0.000986249,250,542
화곡1동,1.11607E+13,37.53384417817069,126.84323949066966,66,0.000973511,251,535
화곡1동,1.11607E+13,37.54009430674859,126.84011701064816,66,0.000975331,255,536
화곡1동,1.11607E+13,37.532433027685386,126.84461643869506,66,0.00098079,282,539
발산1동,1.11607E+13,37.55415182754261,126.83087861746058,66,0.000975331,240,536
등촌1동,1.11605E+13,37.555272501333285,126.8624800075801,66,0.00097897,191,538
등촌3동,1.11605E+13,37.560813022686595,126.84896604918362,66,0.000977151,405,537
화곡4동,1.11606E+13,37.53381094194691,126.86282065634344,66,0.000986249,251,542
우장산동,1.11607E+13,37.546821521006606,126.83969636657505,66,0.00097897,185,538
화곡6동,1.11606E+13,37.54879818,126.85089492762461,66,0.000973511,255,535
우장산동,1.11607E+13,37.550481696380885,126.83712647216878,66,0.000984429,175,541
가양1동,1.11608E+13,37.570232522729164,126.84824744321182,65,0.000958954,294,527
가양1동,1.11608E+13,37.56979131672584,126.84725564752846,65,0.000971692,234,534
화곡본동,1.11606E+13,37.53987923468463,126.84222583786772,65,0.000962594,293,529
발산1동,1.11607E+13,37.551083369071875,126.83145760834519,65,0.000964413,213,530
화곡1동,1.11607E+13,37.53114655760696,126.84565373270424,65,0.000964413,279,530
화곡2동,1.11606E+13,37.530298374150355,126.85410034278917,65,0.000971692,229,534
화곡3동,1.11606E+13,37.54463279084656,126.83378047575302,65,0.000971692,247,534
방화1동,1.11607E+13,37.572957578098865,126.82138448363648,65,0.000964413,201,530
등촌1동,1.11605E+13,37.55373408580983,126.86079460941794,65,0.000958954,210,527
화곡3동,1.11606E+13,37.54207154,126.83516963540963,65,0.000968052,258,532
방화1동,1.11607E+13,37.57468468270183,126.81126787652599,65,0.000958954,233,527
방화1동,1.11607E+13,37.57066925161776,126.81572678377492,65,0.000962594,268,529
우장산동,1.11607E+13,37.55333596743778,126.83973324766325,65,0.000969872,198,533
염창동,1.11605E+13,37.55480601,126.8734309,65,0.000968052,164,532
방화2동,1.11607E+13,37.56837892043645,126.80817540197278,65,0.000968052,182,532
발산1동,1.11607E+13,37.55384857894658,126.82726017552362,65,0.000964413,164,530
공항동,1.11607E+13,37.55848131118552,126.80992671248086,65,0.000971692,272,534
방화2동,1.11607E+13,37.567490035208245,126.80810351637382,65,0.000958954,215,527
화곡6동,1.11606E+13,37.54683676035036,126.85368738822494,65,0.000966233,229,531
화곡8동,1.11606E+13,37.53247025562802,126.84812011201457,65,0.000969872,251,533
가양1동,1.11608E+13,37.57289650827135,126.84413497644833,64,0.000951676,173,523
화곡8동,1.11606E+13,37.53001866826201,126.85008198406545,64,0.000951676,260,523
화곡6동,1.11606E+13,37.554934488516125,126.84990413892776,64,0.000951676,189,523
우장산동,1.11607E+13,37.54937734630519,126.83922715764132,64,0.000944397,164,519
등촌3동,1.11605E+13,37.56066634321933,126.84087872105198,64,0.000944397,201,519
우장산동,1.11607E+13,37.54748302559607,126.84248902197817,64,0.000949856,168,522
화곡1동,1.11607E+13,37.53363105747898,126.84259290672779,64,0.000946217,269,520
등촌2동,1.11605E+13,37.543602884094675,126.85859064562679,64,0.000957135,181,526
발산1동,1.11607E+13,37.55107837040244,126.82397646091108,64,0.000948036,162,521
등촌2동,1.11605E+13,37.54354720015273,126.86129602436752,64,0.000946217,174,520
화곡본동,1.11606E+13,37.539974929228705,126.85007207928388,64,0.000948036,231,521
화곡본동,1.11606E+13,37.539914626042844,126.8428921145634,64,0.000955315,255,525
공항동,1.11607E+13,37.56281942742415,126.81177874133395,64,0.000946217,251,520
공항동,1.11607E+13,37.554751539835294,126.81357668695284,64,0.000955315,274,525
등촌3동,1.11605E+13,37.561653159993874,126.84115705503362,64,0.000957135,206,526
우장산동,1.11607E+13,37.54892647632347,126.83808153009196,64,0.000946217,163,520
화곡3동,1.11606E+13,37.544297247098555,126.83192657348432,64,0.000951676,173,523
방화1동,1.11607E+13,37.563882805244575,126.82126339875637,64,0.000944397,165,519
등촌1동,1.11605E+13,37.55689242471596,126.85828509480055,64,0.000957135,324,526
화곡6동,1.11606E+13,37.55404626081315,126.85457419668496,64,0.000957135,183,526
화곡8동,1.11606E+13,37.52936843685774,126.8491202639232,64,0.000946217,275,520
화곡8동,1.11606E+13,37.53730417,126.85199707587817,64,0.000946217,220,520
화곡1동,1.11607E+13,37.530162606348405,126.84344958223636,64,0.000957135,215,526
화곡6동,1.11606E+13,37.553169264665264,126.84959614033913,64,0.000946217,355,520
가양1동,1.11608E+13,37.573011309340586,126.83871806287942,64,0.000955315,264,525
우장산동,1.11607E+13,37.54671512766601,126.84261050120047,64,0.000957135,175,526
가양3동,1.11607E+13,37.558345547778295,126.8637344805192,64,0.000946217,309,520
가양2동,1.11607E+13,37.56446732478881,126.85259727676838,64,0.000953495,353,524
가양3동,1.11607E+13,37.559881635083514,126.86252502985765,64,0.000944397,266,519
화곡6동,1.11606E+13,37.55630759214367,126.84661719821767,64,0.000948036,192,521
화곡4동,1.11606E+13,37.533570297321155,126.8577709181543,64,0.000951676,238,523
화곡6동,1.11606E+13,37.55617957608085,126.84925121979242,64,0.000949856,193,522
가양3동,1.11607E+13,37.56167843624049,126.86205440751382,64,0.000953495,344,524
가양3동,1.11607E+13,37.562140564325134,126.85642723843898,64,0.000957135,233,526
발산1동,1.11607E+13,37.549917958373214,126.83377263571973,64,0.000951676,201,523
화곡4동,1.11606E+13,37.53353734161232,126.85929501908683,64,0.000944397,246,519
등촌2동,1.11605E+13,37.54495964689025,126.86089283297504,64,0.000944397,176,519
화곡4동,1.11606E+13,37.53805484030694,126.86036197935519,64,0.000949856,247,522
염창동,1.11605E+13,37.552836008962075,126.87277068438914,63,0.000942577,165,518
방화3동,1.11608E+13,37.57997859155121,126.81156004141808,63,0.00092984,179,511
화곡3동,1.11606E+13,37.54296237426175,126.83246536328836,63,0.000935299,178,514
등촌1동,1.11605E+13,37.55360580858933,126.86524188510784,63,0.000935299,326,514
화곡6동,1.11606E+13,37.55380457881907,126.85381537803687,63,0.00092984,265,511
등촌2동,1.11605E+13,37.538093089370406,126.86323222254856,63,0.000937118,245,515
방화1동,1.11607E+13,37.57300719923028,126.81956864316967,63,0.000942577,198,518
화곡2동,1.11606E+13,37.53512725579495,126.8551376858579,63,0.000937118,251,515
방화1동,1.11607E+13,37.56893396794562,126.8159322849465,63,0.000937118,229,515
방화1동,1.11607E+13,37.56467453048666,126.82036525300742,63,0.00092802,178,510
공항동,1.11607E+13,37.559390177377594,126.81108410654063,63,0.000942577,283,518
방화2동,1.11607E+13,37.56818864,126.80965649831552,63,0.000940758,232,517
방화1동,1.11607E+13,37.56530073822133,126.82428262367618,63,0.000933479,151,513
등촌1동,1.11605E+13,37.55704588325789,126.85369354017855,63,0.000940758,373,517
방화2동,1.11607E+13,37.57126194071075,126.80784845442543,63,0.000940758,258,517
화곡본동,1.11606E+13,37.544396521593406,126.84911693574988,63,0.00092984,191,511
